A,Ca,Ce,D,I,V,class,project
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableLong,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableObject,lang
0.11,1.0,4.0,0.09,0.8,1.0,org.apache.commons.lang3.mutable.MutableShort,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.MemberUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeLiteral,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.Typed,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.ConstructorUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.FieldUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.InheritanceUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.MemberUtils$Executable,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.MethodUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils$1,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils$GenericArrayTypeImpl,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils$ParameterizedTypeImpl,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils$WildcardTypeBuilder,lang
0.21,2.0,6.0,0.04,0.75,1.0,org.apache.commons.lang3.reflect.TypeUtils$WildcardTypeImpl,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.FormatFactory,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrLookup,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.CompositeFormat,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.ExtendedMessageFormat,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.FormattableUtils,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrBuilder,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrBuilder$StrBuilderReader,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrBuilder$StrBuilderTokenizer,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrBuilder$StrBuilderWriter,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrLookup$1,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrLookup$MapStrLookup,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrLookup$SystemPropertiesStrLookup,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher$CharMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher$CharSetMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher$NoMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher$StringMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrMatcher$TrimMatcher,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrSubstitutor,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.StrTokenizer,lang
0.14,1.0,8.0,0.03,0.89,1.0,org.apache.commons.lang3.text.WordUtils,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.CharSequenceTranslator,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.CodePointTranslator,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.AggregateTranslator,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.EntityArrays,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.JavaUnicodeEscaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.LookupTranslator,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.NumericEntityEscaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.NumericEntityUnescaper,lang
0.15,1.0,4.0,0.05,0.8,1.0,org.apache.commons.lang3.text.translate.NumericEntityUnescaper$OPTION,lang
