A,Ca,Ce,D,I,V,class,project
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildNumber$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildNumber$NewRevision,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildNumber$Range,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyBuildNumber$ResolvedModuleRevisionArtifactInfo,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheFileset,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheFileset$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheFileset$EmptyDirectoryScanner,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheFileset$EmptyFileSet,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCacheFileset$EmptyIterator,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCachePath,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCheck,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyCleanCache,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyConfigure,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyConflict,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyConvertPom,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDeliver,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDeliver$1,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDeliver$DeliverDRResolver,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependency,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyArtifact,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyConf,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyConf$IvyDependencyConfMapped,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyExclude,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyInclude,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyTree,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyDependencyUpdateChecker,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyExclude,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyExtractFromSources,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyExtractFromSources$Ignore,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyFindRevision,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyInfo,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyInstall,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyListModules,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyMakePom,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyMakePom$Dependency,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyMakePom$Mapping,ivy
0.04,0.0,50.0,0.04,1.0,1.0,org.apache.ivy.ant.IvyOverride,ivy
