A,Ca,Ce,D,I,V,class,project
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.OHCProvider,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.OHCProvider$KeySerializer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.OHCProvider$OHCacheAdapter,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.OHCProvider$ValueSerializer,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.RefCountedMemory,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.RowCacheKey,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.RowCacheSentinel,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.SerializingCache,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.SerializingCache$1,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.SerializingCache$2,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.SerializingCacheProvider,cassandra
0.21,11.0,31.0,0.05,0.74,1.0,org.apache.cassandra.cache.SerializingCacheProvider$RowCacheSerializer,cassandra
0.0,0.0,12.0,0.0,1.0,1.0,org.apache.cassandra.client.RingCache,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.ExecutorLocal,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutorMBean,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutorMBean,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.LocalAwareExecutorService,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$FutureTask,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.AbstractLocalAwareExecutorService$LocalSessionFutureTask,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor$1,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableScheduledThreadPoolExecutor$UncomplainingRunnable,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor$1,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.DebuggableThreadPoolExecutor$LocalSessionWrapper,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.ExecutorLocals,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.JMXConfigurableThreadPoolExecutor,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.JMXEnabledThreadPoolExecutor,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.NamedThreadFactory,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.SEPExecutor,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.SEPWorker,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.SEPWorker$Work,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.ScheduledExecutors,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.SharedExecutorPool,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.Stage,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.Stage$1,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.Stage$2,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.StageManager,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.StageManager$1,cassandra
0.18,32.0,20.0,0.44,0.38,1.0,org.apache.cassandra.concurrent.StageManager$TracingExecutor,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$Raw,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ConfigurationLoader,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.EncryptionOptions,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$1,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$2,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$Builder,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$DroppedColumn,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$Flag,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.CFMetaData$Serializer,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$1,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$2,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$ClusteringOrder,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$Kind,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$Raw$ForColumn,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ColumnDefinition$Raw$Literal,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$1,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$CommitFailurePolicy,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$CommitLogSync,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$DiskAccessMode,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$DiskFailurePolicy,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$DiskOptimizationStrategy,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$InternodeCompression,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$MemtableAllocationType,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$RequestSchedulerId,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Config$UserFunctionTimeoutPolicy,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.DatabaseDescriptor,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.DatabaseDescriptor$1,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.DatabaseDescriptor$2,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.EncryptionOptions$ClientEncryptionOptions,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.EncryptionOptions$ServerEncryptionOptions,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.EncryptionOptions$ServerEncryptionOptions$InternodeEncryption,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ParameterizedClass,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ReadRepairDecision,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.RequestSchedulerOptions,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.Schema,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.SchemaConstants,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.TransparentDataEncryptionOptions,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.ViewDefinition,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.YamlConfigurationLoader,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.YamlConfigurationLoader$CustomConstructor,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.YamlConfigurationLoader$PropertiesChecker,cassandra
0.07,63.0,57.0,0.46,0.47,1.0,org.apache.cassandra.config.YamlConfigurationLoader$PropertiesChecker$1,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractConditions,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractMarker,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AbstractMarker$MultiColumnRaw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.AssignmentTestable,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.BatchQueryOptions,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQL3Type$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQLFragmentParser$CQLParserFunction,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.CQLStatement,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ColumnCondition$Bound,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Conditions,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Constants,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.ErrorListener,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Json$Prepared,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Json$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.KeyspaceElementName,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Lists,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Maps,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Operation,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Operation$RawDeletion,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Operation$RawUpdate,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.QueryHandler,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.QueryOptions,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Relation,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Sets,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term$MultiColumnRaw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term$MultiItemTerminal,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term$NonTerminal,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term$Raw,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.Term$Terminal,cassandra
0.13,35.0,48.0,0.29,0.58,1.0,org.apache.cassandra.cql3.UntypedResultSet,cassandra
