A,Ca,Ce,D,I,V,class,project
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormat$StyleFormatter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormat$StyleFormatterCacheKey,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$CharacterLiteral,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$Composite,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$FixedNumber,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$Fraction,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$MatchingParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$StringLiteral,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$TextField,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$TimeZoneId,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$TimeZoneName,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$TimeZoneOffset,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$TwoDigitYear,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeFormatterBuilder$UnpaddedNumber,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeParserBucket,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeParserBucket$SavedField,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeParserBucket$SavedState,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimeParserInternalParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.DateTimePrinterInternalPrinter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.FormatUtils,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.ISODateTimeFormat,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.ISODateTimeFormat$Constants,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.ISOPeriodFormat,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.InternalParserDateTimeParser,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.InternalPrinterDateTimePrinter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormat,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormat$DynamicWordBased,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$Composite,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$CompositeAffix,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$FieldFormatter,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$Literal,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$PluralAffix,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$RegExAffix,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$RegExAffix$1,time
0.18,5.0,9.0,0.18,0.64,1.0,org.joda.time.format.PeriodFormatterBuilder$Separator,time
