project,class,branch_coverage
math,org.apache.commons.math3.genetics.OnePointCrossover,0.1
math,org.apache.commons.math3.genetics.OrderedCrossover,0.07142857142857142
math,org.apache.commons.math3.genetics.RandomKeyMutation,0.5
math,org.apache.commons.math3.genetics.UniformCrossover,0.35714285714285715
math,org.apache.commons.math3.geometry.euclidean.oned.Interval,1.0
math,org.apache.commons.math3.geometry.euclidean.oned.Vector1DFormat,0.75
math,org.apache.commons.math3.geometry.euclidean.threed.SphericalCoordinates,0.75
math,org.apache.commons.math3.geometry.euclidean.threed.Vector3DFormat,0.75
math,org.apache.commons.math3.geometry.euclidean.twod.PolygonsSet,0.3468208092485549
math,org.apache.commons.math3.geometry.euclidean.twod.Vector2DFormat,0.75
math,org.apache.commons.math3.geometry.euclidean.twod.hull.AklToussaintHeuristic,0.045454545454545456
math,org.apache.commons.math3.geometry.euclidean.twod.hull.ConvexHull2D,0.2
math,org.apache.commons.math3.geometry.euclidean.twod.hull.MonotoneChain,0.03125
math,org.apache.commons.math3.geometry.partitioning.utilities.AVLTree,0.16666666666666666
math,org.apache.commons.math3.geometry.partitioning.utilities.OrderedTuple,0.6382978723404256
math,org.apache.commons.math3.geometry.spherical.oned.Arc,1.0
math,org.apache.commons.math3.linear.DefaultIterativeLinearSolverEvent,0.5
math,org.apache.commons.math3.linear.EigenDecomposition,0.5060975609756098
math,org.apache.commons.math3.linear.JacobiPreconditioner,0.5
math,org.apache.commons.math3.linear.RealMatrixFormat,0.4090909090909091
math,org.apache.commons.math3.linear.RealVectorFormat,0.3636363636363637
math,org.apache.commons.math3.ml.distance.CanberraDistance,1.0
math,org.apache.commons.math3.ml.distance.EarthMoversDistance,1.0
math,org.apache.commons.math3.ml.neuralnet.sofm.LearningFactorFunctionFactory,0.875
math,org.apache.commons.math3.ml.neuralnet.sofm.util.ExponentialDecayFunction,1.0
math,org.apache.commons.math3.ml.neuralnet.sofm.util.QuasiSigmoidDecayFunction,1.0
math,org.apache.commons.math3.ml.neuralnet.twod.NeuronSquareMesh2D,0.09243697478991596
ivy,org.apache.ivy.Ivy14,0.875
ivy,org.apache.ivy.ant.AntBuildTrigger,0.1111111111111111
ivy,org.apache.ivy.ant.AntCallTrigger,0.21428571428571427
ivy,org.apache.ivy.ant.BuildOBRTask,0.05882352941176471
ivy,org.apache.ivy.ant.ConvertManifestTask,0.16666666666666666
ivy,org.apache.ivy.ant.IvyAntSettings,0.13793103448275862
ivy,org.apache.ivy.ant.IvyBuildList,0.0673076923076923
ivy,org.apache.ivy.ant.IvyBuildNumber,0.036585365853658534
ivy,org.apache.ivy.ant.IvyCacheFileset,0.07692307692307693
ivy,org.apache.ivy.ant.IvyConfigure,0.25
