project_x,class_x,branch_coverage,file,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc,project_y,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs,A,Ca,Ce,D,I,V,project,abstract,assert,boolean,break,byte,case,catch,char,class_y,class-name,const,continue,default,do,double,else,extends,false,final,finally,float,for,goto,if,implements,import,instanceof,int,interface,long,native,new,null,package,private,protected,public,return,short,static,strictfp,super,switch,synchronized,this,throw,throws,transient,true,try,void,volatile,while
cassandra,org.apache.cassandra.schema.Triggers,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/schema/Triggers.java,class,5,18,1,0,21,30,16,14,2,2,0,0,6,114,cassandra,50,137,262.0838499786226,773.2082979991372,5.782608695652174,4471.161027560228,248.39783486445708,0.2577360993330457,0.0,34.0,40.0,0.46,0.54,1.0,cassandra,0,0,2,0,0,0,0,0,2,org.apache.cassandra.schema.Triggers,0,0,0,0,0,0,0,0,4,0,0,2,0,2,1,4,1,2,0,0,0,5,0,1,3,0,16,14,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.schema.Types,0.375,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/schema/Types.java,class,13,58,1,0,68,126,28,20,4,8,0,1,12,275,cassandra,102,360,656.2415647232905,2402.0731231097384,7.0,16814.51186176817,934.1395478760094,0.8006910410365795,0.0,34.0,40.0,0.46,0.54,1.0,cassandra,0,1,3,0,0,0,0,0,4,org.apache.cassandra.schema.Types,0,0,0,0,0,0,0,0,12,0,0,10,0,13,1,13,1,2,0,0,0,12,1,1,7,0,23,29,0,12,0,0,0,0,3,2,0,0,0,0,1,0,2
cassandra,org.apache.cassandra.schema.Views,0.4,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/schema/Views.java,class,9,22,1,0,26,34,20,17,2,2,0,0,5,146,cassandra,65,198,369.7749775913362,1192.4288269796339,6.360655737704918,7584.629260132751,421.3682922295974,0.397476275659878,0.0,34.0,40.0,0.46,0.54,1.0,cassandra,0,0,2,0,0,0,0,0,2,org.apache.cassandra.schema.Views,0,0,0,0,0,0,0,0,4,0,0,2,0,3,1,10,1,2,0,0,0,5,1,1,3,0,19,18,0,4,0,0,0,0,4,1,0,0,0,0,0,0,0
cassandra,org.apache.cassandra.security.CipherFactory,0.05,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/security/CipherFactory.java,class,12,17,1,0,30,10,6,3,0,9,3,1,5,159,cassandra,105,266,690.7095542998717,1785.9893076991889,2.466019417475728,4404.2843121902315,244.6824617883462,0.5953297692330629,0.08,7.0,22.0,0.16,0.76,1.0,cassandra,0,1,0,0,0,0,3,0,2,org.apache.cassandra.security.CipherFactory,0,0,1,0,0,0,0,0,9,0,0,6,0,4,0,21,1,3,0,0,0,6,1,1,9,0,9,6,0,2,0,0,0,0,3,4,5,0,0,3,1,0,0
cassandra,org.apache.cassandra.security.EncryptionUtils,0.3333333333333333,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/security/EncryptionUtils.java,class,6,32,1,0,35,203,23,19,8,7,2,3,12,276,cassandra,121,387,790.9530762834323,2677.6000728252684,12.571428571428573,33661.2580583748,1870.0698921319333,0.8925333576084228,0.08,7.0,22.0,0.16,0.76,1.0,cassandra,0,0,9,0,3,0,3,0,4,org.apache.cassandra.security.EncryptionUtils,0,0,0,0,0,0,0,0,10,0,0,6,0,11,3,14,0,22,0,3,0,6,0,1,10,1,23,20,0,14,0,0,0,0,4,4,9,0,0,3,4,1,0
cassandra,org.apache.cassandra.serializers.AsciiSerializer,0.75,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/AsciiSerializer.java,class,3,5,2,0,4,1,2,1,0,1,1,1,1,38,cassandra,29,48,124.09640474436813,233.1830877661235,3.28,764.840527872885,42.4911404373825,0.07772769592204118,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,2,0,0,0,1,org.apache.cassandra.serializers.AsciiSerializer,0,0,0,0,0,0,1,0,1,0,0,4,0,1,0,2,0,0,0,0,0,2,0,1,1,0,3,0,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.BooleanSerializer,0.625,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/BooleanSerializer.java,class,4,12,1,0,6,10,5,5,0,3,1,3,3,51,cassandra,41,98,197.72694052636,525.0400964525721,4.722222222222221,2479.3560110260355,137.74200061255752,0.17501336548419075,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,2,0,0,0,1,org.apache.cassandra.serializers.BooleanSerializer,0,0,0,0,0,0,0,1,3,0,0,2,0,2,1,2,0,0,0,0,0,2,2,1,2,0,7,5,0,3,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.ByteSerializer,0.5999999999999999,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/ByteSerializer.java,class,3,10,1,0,7,10,5,5,0,1,1,1,3,45,cassandra,40,80,194.11730005192317,425.754247590989,4.055555555555555,1726.6700041190106,95.92611133994505,0.14191808253032967,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,1,0,0,0,1,org.apache.cassandra.serializers.ByteSerializer,0,0,0,0,0,0,0,0,1,0,0,3,0,1,1,2,0,0,0,0,0,2,4,1,0,0,7,4,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.BytesSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/BytesSerializer.java,class,2,7,1,0,4,15,6,6,0,1,1,1,0,53,cassandra,32,59,145.63633636086306,295.0,1.9310344827586208,569.6551724137931,31.647509578544067,0.09833333333333333,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,1,0,0,1,org.apache.cassandra.serializers.BytesSerializer,0,0,0,0,0,1,0,0,1,0,0,2,0,0,1,2,0,0,0,0,0,1,1,1,0,0,8,5,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0
cassandra,org.apache.cassandra.serializers.DecimalSerializer,0.5,/Users/grano/PycharmProjects/jsep/projects/cassandra/sources/org/apache/cassandra/serializers/DecimalSerializer.java,class,4,12,1,0,13,10,5,5,0,1,1,1,2,65,cassandra,54,134,280.71716048325214,771.1549252899049,7.4042553191489375,5709.827957465677,317.2126643036488,0.25705164176330164,0.09,15.0,21.0,0.33,0.58,1.0,cassandra,0,0,0,0,0,0,0,0,1,org.apache.cassandra.serializers.DecimalSerializer,0,0,0,1,0,0,0,0,1,0,0,2,0,3,1,4,0,2,0,0,0,5,2,1,0,0,7,6,0,1,0,0,0,0,3,1,1,0,0,0,1,0,0
