TARGET_CLASS,BranchCoverage
com.google.common.graph.EndpointPairIterator,0.9277777777777778
com.google.common.graph.ForwardingGraph,1.0
com.google.common.graph.GraphBuilder,1.0
com.google.common.graph.GraphConstants,1.0
com.google.common.graph.Graphs,0.4962025316455696
com.google.common.graph.ImmutableGraph,1.0
com.google.common.graph.ImmutableNetwork,0.8217391304347826
com.google.common.graph.ImmutableValueGraph,0.9700000000000001
com.google.common.graph.MapIteratorCache,0.926923076923077
com.google.common.graph.MapRetrievalCache,0.9000000000000001
com.google.common.graph.MultiEdgesConnecting,0.0
com.google.common.graph.NetworkBuilder,1.0
com.google.common.graph.UndirectedGraphConnections,1.0
com.google.common.graph.UndirectedMultiNetworkConnections,0.638888888888889
com.google.common.graph.UndirectedNetworkConnections,0.0
com.google.common.graph.ValueGraphBuilder,1.0
com.google.common.hash.AbstractByteHasher,1.0
com.google.common.hash.AbstractCompositeHashFunction,0.0
com.google.common.hash.AbstractHasher,1.0
com.google.common.hash.AbstractStreamingHashFunction,0.8648648648648649
com.google.common.hash.BloomFilter,0.7532258064516129
com.google.common.hash.ChecksumHashFunction,0.9090909090909094
com.google.common.hash.Crc32cHashFunction,1.0
com.google.common.hash.Funnels,0.39166666666666666
com.google.common.hash.HashCode,0.9746478873239436
com.google.common.hash.Hashing,0.8702702702702702
com.google.common.hash.HashingInputStream,1.0
com.google.common.hash.HashingOutputStream,1.0
com.google.common.hash.LittleEndianByteArray,0.4666666666666667
com.google.common.hash.MacHashFunction,0.15384615384615383
com.google.common.hash.MessageDigestHashFunction,0.09999999999999999
com.google.common.hash.Murmur3_128HashFunction,0.9791666666666666
com.google.common.hash.Murmur3_32HashFunction,1.0
com.google.common.hash.SipHashFunction,0.9961538461538462
com.google.common.html.HtmlEscapers,1.0
com.google.common.io.AppendableWriter,1.0
com.google.common.io.BaseEncoding,0.7327510917030569
com.google.common.io.ByteSink,0.0
com.google.common.io.ByteSource,0.75
com.google.common.io.ByteStreams,0.5045871559633028
com.google.common.io.CharSink,0.0
com.google.common.io.CharSource,0.8289855072463768
com.google.common.io.CharStreams,0.767741935483871
com.google.common.io.Closeables,0.85
com.google.common.io.Closer,0.8391304347826086
com.google.common.io.CountingInputStream,1.0
com.google.common.io.CountingOutputStream,1.0
