file,class,type,cbo,wmc,dit,noc,rfc,lcom,nom,nopm,nosm,nof,nopf,nosf,nosi,loc
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/function/Sinc.java,org.apache.commons.math3.analysis.function.Sinc,class,5,23,1,0,8,4,5,5,0,2,0,1,6,175
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/linear/DiagonalMatrix.java,org.apache.commons.math3.linear.DiagonalMatrix,class,12,52,3,0,24,4,24,23,0,2,0,1,13,333
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/descriptive/moment/Variance.java,org.apache.commons.math3.stat.descriptive.moment.Variance,class,8,64,3,0,17,94,21,21,1,4,0,1,2,589
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/function/Cos.java,org.apache.commons.math3.analysis.function.Cos,class,4,3,1,0,4,3,3,3,0,0,0,0,2,47
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/function/Acos.java,org.apache.commons.math3.analysis.function.Acos,class,4,3,1,0,4,3,3,3,0,0,0,0,2,47
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/exception/MathParseException.java,org.apache.commons.math3.exception.MathParseException,class,2,2,6,0,4,1,2,2,0,1,0,1,2,52
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/InitialGuess.java,org.apache.commons.math3.optimization.InitialGuess,class,2,2,1,0,1,0,2,2,0,1,0,0,0,44
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/LeastSquaresConverter.java,org.apache.commons.math3.optimization.LeastSquaresConverter,class,6,18,1,0,5,0,4,4,0,4,0,0,0,168
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/analysis/differentiation/UnivariateFunctionDifferentiator.java,org.apache.commons.math3.analysis.differentiation.UnivariateFunctionDifferentiator,interface,2,1,1,0,0,0,1,0,0,0,0,0,0,29
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,org.apache.commons.math3.optimization.direct.BOBYQAOptimizer,class,15,487,6,0,35,7,14,2,3,39,3,17,99,2273
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/util/CentralPivotingStrategy.java,org.apache.commons.math3.util.CentralPivotingStrategy,class,2,1,1,0,1,0,1,1,0,1,0,1,1,39
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/geometry/euclidean/threed/FieldVector3D.java,org.apache.commons.math3.geometry.euclidean.threed.FieldVector3D,class,10,130,1,0,56,155,82,82,21,4,0,1,12,1079
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/univariate/UnivariateMultiStartOptimizer.java,org.apache.commons.math3.optimization.univariate.UnivariateMultiStartOptimizer,class,12,26,1,0,10,22,8,7,0,6,0,0,3,184
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/complex/ComplexFormat.java,org.apache.commons.math3.complex.ComplexFormat,class,10,55,1,0,34,118,20,19,4,4,0,1,16,384
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optim/BaseOptimizer.java,org.apache.commons.math3.optim.BaseOptimizer,class,13,20,1,2,9,27,15,9,0,3,0,0,0,241
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/stat/ranking/TiesStrategy.java,org.apache.commons.math3.stat.ranking.TiesStrategy,enum,0,0,1,0,0,0,0,0,0,0,0,0,0,47
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/primes/SmallPrimes.java,org.apache.commons.math3.primes.SmallPrimes,class,1,30,1,0,8,8,5,4,4,2,2,2,7,175
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optim/nonlinear/scalar/gradient/NonLinearConjugateGradientOptimizer.java,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizer,class,15,32,5,0,19,34,12,9,0,4,0,0,0,379
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/general/Preconditioner.java,org.apache.commons.math3.optimization.general.Preconditioner,interface,1,1,1,0,0,0,1,0,0,0,0,0,0,44
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/fitting/leastsquares/EvaluationRmsChecker.java,org.apache.commons.math3.fitting.leastsquares.EvaluationRmsChecker,class,3,3,1,0,3,1,3,3,0,2,0,0,2,68
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/ml/neuralnet/sofm/util/QuasiSigmoidDecayFunction.java,org.apache.commons.math3.ml.neuralnet.sofm.util.QuasiSigmoidDecayFunction,class,6,8,1,0,1,0,2,2,0,2,0,0,0,80
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/fitting/WeightedObservedPoint.java,org.apache.commons.math3.fitting.WeightedObservedPoint,class,0,4,1,0,0,0,4,4,0,4,0,1,0,70
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/linear/NoFeasibleSolutionException.java,org.apache.commons.math3.optimization.linear.NoFeasibleSolutionException,class,1,1,2,0,0,0,1,1,0,1,0,1,0,36
/Users/grano/PycharmProjects/jsep/projects/math/sources/org/apache/commons/math3/optimization/linear/SimplexTableau.java,org.apache.commons.math3.optimization.linear.SimplexTableau,class,10,106,1,0,67,204,32,3,1,14,0,4,12,566
